Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Bonsai,https://www.bons.ai/,"AI for Industrial Applications. Unlocking the Power of Deep Reinforcement Learning for Industrial Systems. Bonsai tools empower users to develop deep reinforcement learning models that can significantly improve the operations of complex industrial systems. Leverage Bonsai and deep reinforcement learning to increase the precision, production and reliability of your manufacturing operations.",Acquired,"13,600,000",Operations Intelligence,Emerging,2014,USA,Both,TRUE,,,,
WorldSensing,https://www.worldsensing.com/,"Operational intelligence solutions. Digitize your operations: We help more than 200 customers in over 60 countries to make data-informed decisions with real-time intelligence. Worldsensing is a market leader in Internet of Things (IoT) solutions. The company has built on its expertise in low-power wireless sensing networks and has created comprehensive vertical solutions in sectors where IoT is making a measurable impact. Worldsensing is an IoT company specializing in sensing solutions for smart cities and industries with critical assets in remote locations. Mining Operational Intelligence - Turn real-time mine data into actionable results. Our customizable software solution connects sensor-based data, systems, and people to generate instant, geo-located insights: Gain complete visibility over all mining operations; Remotely monitor, manage, and maintain key assets; Predict and prepare for unusual situations; Use data insights to make decisions based on intelligence; Reduce operational costs due not needing expensive cabling; Easily integrate 3rd party systems and sensors",Series B,"10,975,000",Operations Intelligence,Emerging,2008,Spain,Both,TRUE,,,,
Kespry,https://www.kespry.com/,"Drone aerial intelligence for industry. More accurate, easier, and safer surveys and inspections. The Drone-Based Aerial Intelligence Platform for Aggregates and Mining. Kespry is the only complete commercial drone and data solution used by the top aggregates producers and mining companies. Kespry delivers unrivaled simplicity for accurate inventory management and mine planning. See Kespry in action for yourself by clicking the Kespry Cloud trial button.",Series D,"61,400,000",Operations Intelligence,Existing,2013,USA,Both,TRUE,,,,
Strayos,https://www.strayos.com/,"Strayos is a 3D aerial intelligence platform for Mining and Quarry blasting operations to reduce cost, improve productivity and safety by providing highly accurate survey data analytics. Strayos is a powerful data analytics software designed to maximize operational excellence.",Seed,"950,000",Operations Intelligence,Emerging,2016,USA,Both,TRUE,,,,
Newton Labs,https://newtonlabs.com.au/,"At Newton Labs, we combine IoT systems and machine learning for the mining industry to enable realtime intelligence and decision making. The first-use case was deploying connected sensors and data analytics to detect oversize material in the back of haul trucks.",Seed,"70,000",Operations Intelligence,Emerging,2014,USA,Mining,TRUE,,,,
MinVu,minvu.com,"MinVu, a provider of mine-wide operational reporting and analytics software solutions to the mining industry. MinVu has been providing enterprise operational software to their global customers for over 18 years. Miners rely on the MinVu products to understand exactly what their mining equipment is doing at any time of the day or night.",Acquired,"11,000,000",Operations Intelligence,Emerging,2000,Australia,Mining,TRUE,,,,
Quanergy Systems,quanergy.com,"Quanergy Systems is a technology company developing smart sensing solutions for real-time 3D mapping and object detection, tracking, and classification.",Series C,"160,000,000",Operations Intelligence,Existing,2012,USA,Mining,TRUE,,,,
Foghorn,http://www.foghorn.io/,"FogHorn provides an edge intelligence (or ""fog computing"") platform for industrial and commercial IoT applications. It enables analytics and edge computing applications in a wide variety of industrial and enterprise use cases in sectors such as manufacturing, power and water utilities, oil and gas production, mining, renewable energy, transportation and healthcare, as well as smart grids, smart cities, smart buildings and connected vehicles.",Series B,"57,960,000",Operations Intelligence,Emerging,2014,USA,Mining,TRUE,,,,
OSIsoft,http://www.osisoft.com/,"OSIsoft delivers the PI System, an enterprise infrastructure for management of real-time data and events. The OSIsoft PI System is used in manufacturing, energy, utilities, life sciences, data centers, facilities, and the process industries. This global installed base relies upon the OSIsoft PI System to safeguard data and deliver enterprise-wide visibility into operational, manufacturing and business data. The PI System enables users to manage assets, mitigate risks, comply with regulations, improve processes, drive innovation, make business decisions in real-time, and to identify competitive business and market opportunities.",Acquired,"142,730,000",Operations Intelligence,Emerging,2007,USA,Mining,FALSE,,,,
Flutura,flutura.com,"Flutura is an AI Solutions company focused on improving two core business objectives of ""Asset Uptime"" and ""Operation Efficiency"". The company does this with Cerebra, its AI Platform tuned for IIOT in Oil & Gas, Specialty Chemicals, and Heavy machinery manufacturing industries, powering connected asset and connected operations use cases.",Series A,"8,500,000",Operations Intelligence,Emerging,2012,USA,Both,TRUE,,,,
Einsite,http://www.einsite.com/,"Einsite builds Internet-of-Things technology to make the construction and mining industries smarter, and aims to digitize and revolutionize the construction industry by building a plug-n-play product to improve project management and execution.",Seed,"1,000,000",Operations Intelligence,Distant,2015,USA,Both,TRUE,,,,
Boxarr,http://www.boxarr.com/,"BOXARR, formerly Plexus Planning, offers a solution for 'Inter-dependent Systems Management'; delivering scalable applications to solve challenges of complexity. BOXARR's system modeling and analysis tools, enable complex organizations such as aerospace, defense, government, automotive, manufacturing, energy oil & gas, mining, transport, finance healthcare and enterprise, to optimize their operational performance.",Seed,"3,020,000",Operations Intelligence,Emerging,2003,United Kingdom,Mining,TRUE,,,,
Sparkcognition,http://www.sparkcognition.com/,"SparkCognition builds artificial intelligence solutions for applications in energy, oil and gas, manufacturing, finance, aerospace, defense, and security. SparkCognition's products include the Darwin for automated model building, DeepArmor for AI-built cybersecurity, SparkPredict, an analytics solution, and DeepLNP, a natural language processing solution.",Series C,"167,880,000",Operations Intelligence,Existing,2013,USA,Mining,TRUE,,,,
